Rj,Fig2ne,ne^.5,"(ne^,5)x25"
5.99E+00,2287.410007,47.82687536,1195.671884
6.00E+00,2272.470258,47.6704338,1191.760845
6.01E+00,2262.427587,47.56498278,1189.12457
6.02E+00,2256.414778,47.50173447,1187.543362
6.03E+00,2234.916375,47.27490217,1181.872554
6.04E+00,2213.118936,47.04379806,1176.094951
6.05E+00,2191.451916,46.81294603,1170.323651
6.06E+00,2169.145034,46.57408114,1164.352028
6.07E+00,2149.016391,46.35748474,1158.937118
6.08E+00,2131.353102,46.16657993,1154.164498
6.09E+00,2113.694757,45.97493618,1149.373404
6.10E+00,2096.35509,45.78597045,1144.649261
6.11E+00,2079.277936,45.59910017,1139.977504
6.12E+00,2062.468313,45.41440644,1135.360161
6.13E+00,2045.904217,45.23167271,1130.791818
6.14E+00,2029.565284,45.05069682,1126.26742
6.15E+00,2013.517246,44.87223246,1121.805812
6.16E+00,1997.893719,44.69780441,1117.44511
6.17E+00,1982.848487,44.52918691,1113.229673
6.18E+00,1964.206766,44.31937235,1107.984309
6.19E+00,1945.781416,44.11101241,1102.77531
6.20E+00,1927.569498,43.90409432,1097.602358
6.21E+00,1909.568117,43.69860543,1092.465136
6.22E+00,1891.774421,43.49453323,1087.363331
6.23E+00,1874.185605,43.29186535,1082.296634
6.24E+00,1856.798905,43.09058951,1077.264738
6.25E+00,1839.611599,42.89069362,1072.26734
6.26E+00,1822.621009,42.69216566,1067.304141
6.27E+00,1805.824495,42.49499376,1062.374844
6.28E+00,1789.21946,42.29916619,1057.479155
6.29E+00,1772.803346,42.10467131,1052.616783
6.30E+00,1756.573632,41.91149761,1047.78744
6.31E+00,1740.527837,41.71963371,1042.990843
6.32E+00,1724.663517,41.52906834,1038.226709
6.33E+00,1708.978266,41.33979035,1033.494759
6.34E+00,1693.469713,41.1517887,1028.794717
6.35E+00,1678.135523,40.96505246,1024.126311
6.36E+00,1662.973396,40.77957082,1019.48927
6.37E+00,1647.981068,40.59533308,1014.883327
6.38E+00,1633.156307,40.41232864,1010.308216
6.39E+00,1618.496915,40.23054703,1005.763676
6.40E+00,1604.000727,40.04997787,1001.249447
6.41E+00,1589.665611,39.87061087,996.7652718
6.42E+00,1575.489466,39.69243588,992.310897
6.43E+00,1561.470222,39.51544283,987.8860707
6.44E+00,1547.60584,39.33962175,983.4905438
6.45E+00,1533.894311,39.16496279,979.1240698
6.46E+00,1520.333655,38.99145618,974.7864046
6.47E+00,1506.921924,38.81909226,970.4773065
6.48E+00,1493.657195,38.64786146,966.1965365
6.49E+00,1480.537576,38.4777543,961.9438576
6.50E+00,1467.561202,38.30876142,957.7190356
6.51E+00,1454.726234,38.14087353,953.5218383
6.52E+00,1442.030861,37.97408144,949.3520359
6.53E+00,1429.473299,37.80837605,945.2094011
6.54E+00,1417.05179,37.64374835,941.0937087
6.55E+00,1404.764599,37.48018942,937.0047356
6.56E+00,1392.61002,37.31769045,932.9422612
6.57E+00,1380.58637,37.15624267,928.9060668
6.58E+00,1368.691988,36.99583745,924.8959362
6.59E+00,1356.925242,36.8364662,920.9116549
6.60E+00,1345.284519,36.67812044,916.9530109
6.61E+00,1333.768231,36.52079177,913.0197942
6.62E+00,1322.374814,36.36447187,909.1117967
6.63E+00,1311.102725,36.2091525,905.2288124
6.64E+00,1299.950442,36.0548255,901.3706375
6.65E+00,1288.916467,35.9014828,897.5370699
6.66E+00,1277.999323,35.74911639,893.7279098
6.67E+00,1267.197552,35.59771836,889.942959
6.68E+00,1256.50972,35.44728086,886.1820215
6.69E+00,1245.934411,35.29779612,882.444903
6.70E+00,1235.470229,35.14925646,878.7314114
6.71E+00,1225.1158,35.00165424,875.0413561
6.72E+00,1214.869766,34.85498194,871.3745484
6.73E+00,1204.730791,34.70923207,867.7308017
6.74E+00,1194.697556,34.56439724,864.109931
6.75E+00,1184.768763,34.42047012,860.5117529
6.76E+00,1174.943129,34.27744345,856.9360862
6.77E+00,1165.219392,34.13531004,853.382751
6.78E+00,1155.596304,33.99406278,849.8515694
6.79E+00,1146.072638,33.8536946,846.3423651
6.80E+00,1136.647183,33.71419854,842.8549635
6.81E+00,1127.318744,33.57556767,839.3891916
6.82E+00,1118.086143,33.43779513,835.9448782
6.83E+00,1108.948219,33.30087415,832.5218536
6.84E+00,1099.903826,33.16479799,829.1199498
6.85E+00,1090.951834,33.02956001,825.7390002
6.86E+00,1082.09113,32.8951536,822.37884
6.87E+00,1073.320615,32.76157223,819.0393058
6.88E+00,1064.639205,32.62880944,815.7202359
6.89E+00,1056.045832,32.4968588,812.42147
6.90E+00,1047.539441,32.36571397,809.1428492
6.91E+00,1039.118992,32.23536866,805.8842164
6.92E+00,1030.783462,32.10581663,802.6454158
6.93E+00,1022.531836,31.97705172,799.4262929
6.94E+00,1014.363119,31.8490678,796.2266949
6.95E+00,1006.276326,31.72185881,793.0464703
6.96E+00,998.2704866,31.59541876,789.885469
6.97E+00,990.3446424,31.4697417,786.7435424
6.98E+00,982.497849,31.34482173,783.6205431
6.99E+00,974.7291746,31.22065301,780.5163253
7.00E+00,967.0376997,31.09722977,777.4307444
7.01E+00,959.4225173,30.97454628,774.363657
7.02E+00,951.8827327,30.85259685,771.3149214
7.03E+00,944.417463,30.73137587,768.2843968
7.04E+00,937.0258372,30.61087776,765.271944
7.05E+00,929.706996,30.491097,762.2774249
7.06E+00,922.4600915,30.37202811,759.3007027
7.07E+00,915.284287,30.25366568,756.341642
7.08E+00,908.1787573,30.13600434,753.4001084
7.09E+00,901.1426877,30.01903875,750.4759688
7.10E+00,894.1752746,29.90276366,747.5690915
7.11E+00,887.275725,29.78717383,744.6793458
7.12E+00,880.4432562,29.67226409,741.8066022
7.13E+00,873.6770961,29.5580293,738.9507325
7.14E+00,866.9764825,29.44446438,736.1116094
7.15E+00,860.3406635,29.33156429,733.2891072
7.16E+00,853.7688968,29.21932403,730.4831008
7.17E+00,847.2604501,29.10773866,727.6934666
7.18E+00,840.8146006,28.99680328,724.920082
7.19E+00,834.4306347,28.88651302,722.1628256
7.20E+00,828.1078484,28.77686307,719.4215769
7.21E+00,821.8455468,28.66784866,716.6962165
7.22E+00,815.6430441,28.55946505,713.9866263
7.23E+00,809.4996633,28.45170756,711.2926891
7.24E+00,803.4147361,28.34457154,708.6142886
7.25E+00,797.387603,28.23805239,705.9513098
7.26E+00,791.4176131,28.13214555,703.3036387
7.27E+00,785.5041236,28.02684648,700.671162
7.28E+00,779.6465003,27.92215071,698.0537678
7.29E+00,773.844117,27.8180538,695.4513449
7.30E+00,768.0963556,27.71455133,692.8637833
7.31E+00,762.4026058,27.61163895,690.2909739
7.32E+00,756.7622652,27.50931234,687.7328084
7.33E+00,751.1747391,27.40756719,685.1891797
7.34E+00,745.6394405,27.30639926,682.6599815
7.35E+00,740.1557897,27.20580434,680.1451085
7.36E+00,734.7232145,27.10577825,677.6444562
7.37E+00,729.3411498,27.00631685,675.1579212
7.38E+00,724.0090378,26.90741604,672.6854009
7.39E+00,718.7263278,26.80907175,670.2267936
7.40E+00,713.4924761,26.71127994,667.7819985
7.41E+00,708.3069456,26.61403663,665.3509157
7.42E+00,703.1692061,26.51733784,662.933446
7.43E+00,698.0787343,26.42117965,660.5294913
7.44E+00,693.0350132,26.32555817,658.1389543
