YMD,startHMS,startSSM(s),stopSSM(s),idnum,dispersionConstant,burstOrSurvey,electricOrMagnetic,altitude(km),radius(RJ),mshell,mlat(deg),lat(deg),jovigraphic_latitude(deg),centrifugal_latitude(deg),mlt(hours),lt(hours),io_phase(deg),longitude(deg),footlat(deg),footlon(deg)
20200725,023429.000,9269,9274,46,1340.996,Survey,Electric,327318,5.5677,6.284,18.75,23.647,24.1325,21.1705,21.91,22.12,58.709,313.067,72.01,287.958
20200725,023429.000,9269,9274,46,1251.877,Survey,Magnetic,327318,5.5677,6.284,18.75,23.647,24.1325,21.1705,21.91,22.12,58.709,313.067,72.01,287.958
20200725,023515.000,9315,9322,47,1078.83,Survey,Electric,326268,5.5531,6.2675,18.747,23.718,24.2078,21.1893,21.91,22.12,58.842,313.585,72.018,288.572
20200725,023515.000,9315,9322,47,1018.929,Survey,Magnetic,326268,5.5531,6.2675,18.747,23.718,24.2078,21.1893,21.91,22.12,58.842,313.585,72.018,288.572
20200725,023527.000,9327,9332,48,553.184,Survey,Electric,326012,5.5497,6.2637,18.745,23.734,24.2243,21.1947,21.91,22.12,58.874,313.695,72.019,288.714
20200725,023527.000,9327,9332,48,543.336,Survey,Magnetic,326012,5.5497,6.2637,18.745,23.734,24.2243,21.1947,21.91,22.12,58.874,313.695,72.019,288.714
20200725,023541.000,9341,9347,49,981.735,Survey,Electric,325673,5.5452,6.2586,18.743,23.756,24.246,21.202,21.91,22.12,58.915,313.84,72.022,288.903
20200725,023541.000,9341,9347,49,1081.648,Survey,Magnetic,325673,5.5452,6.2586,18.743,23.756,24.246,21.202,21.91,22.12,58.915,313.84,72.022,288.903
20200725,023550.000,9350,9354,50,1480.295,Survey,Electric,325487,5.5428,6.2558,18.741,23.768,24.258,21.206,21.91,22.12,58.937,313.92,72.023,289.007
20200725,023550.000,9350,9354,50,1777.965,Survey,Magnetic,325487,5.5428,6.2558,18.741,23.768,24.258,21.206,21.91,22.12,58.937,313.92,72.023,289.007
20200725,023603.000,9363,9373,51,1892.99,Survey,Electric,325127,5.5378,6.2502,18.739,23.792,24.282,21.2127,21.9087,22.12,58.983,314.08,72.025,289.214
